Stock*,Open,High,Low,Last*,Vol*
FPI,3.98,4.09,3.94,3.98,8063
FREIGHT,0.82,0.835,0.79,0.8,54283
FRONTKN,3.66,3.75,3.61,3.61,138067
FRONTKN-WB,0.585,0.61,0.575,0.585,87796
FSBM,0.065,0.125,0.065,0.08,8831
FSBM-WA,0.015,0.045,0.01,0.03,19462
G3,0.085,0.085,0.08,0.085,15874
G3-WA,-,-,-,-,0
GADANG,0.365,0.37,0.36,0.37,16154
GADANG-WB,0.005,0.005,0.005,0.005,200
GAMUDA,3.1,3.15,3,3.01,33225
GASMSIA,2.75,2.75,2.73,2.74,833
GBGAQRS,0.55,0.59,0.55,0.575,36312
GBGAQRS-WB,0.115,0.14,0.115,0.14,1530
GCAP,0.65,0.66,0.65,0.66,838
GCB,2.95,2.97,2.95,2.96,1344
GCB-WB,1.3,1.3,1.28,1.28,118
GCE,-,-,-,-,0
GDB,0.47,0.475,0.465,0.475,10576
GDB-WA,0.13,0.135,0.13,0.135,2231
GDEX,0.315,0.32,0.31,0.315,32305
GDEX-WC,0.11,0.11,0.11,0.11,8632
GENM,3.06,3.1,3,3,254979
GENP,6.75,7.07,6.75,6.85,3710
GENTING,5,5.07,4.97,5.04,46097
GESHEN,1.93,1.93,1.88,1.92,3016
GETS,1.6,1.6,1.52,1.58,1467
GHLSYS,1.85,1.88,1.85,1.87,13670
GIIB,0.165,0.165,0.155,0.155,11616
GIIB-WA,0.04,0.045,0.04,0.04,20325
GKENT,0.665,0.67,0.66,0.665,5424
GLBHD,-,-,-,-,0
GLOMAC,0.34,0.34,0.33,0.335,880
GLOTEC,0.6,0.64,0.59,0.64,53834
GLOTEC-WA,0.05,0.065,0.045,0.065,52716
GMUTUAL,0.3,0.3,0.3,0.3,273
GOB,0.3,0.3,0.295,0.295,3330
GOPENG,-,-,-,-,0
GPACKET,0.115,0.12,0.11,0.12,214262
GPACKET-WB,0.04,0.045,0.035,0.045,18876
GPHAROS,0.36,0.36,0.345,0.35,1566
GREATEC,7.02,7.13,6.94,7.11,33957
GREENYB,0.295,0.295,0.29,0.29,4005
GTRONIC,2.11,2.12,2.06,2.06,18371
GUH,0.535,0.54,0.51,0.525,50599
GUOCO,0.745,0.75,0.745,0.75,115
HAIO,1.96,1.98,1.94,1.96,1027
HANDAL,0.245,0.245,0.24,0.24,12199
HAPSENG,8.17,8.17,7.95,7.95,4765
HARBOUR,1.31,1.42,1.26,1.33,352082
HARISON,4.8,4.8,4.8,4.8,80
HARNLEN,0.76,0.785,0.76,0.785,7314
HARNLEN-WB,0.28,0.285,0.28,0.285,555
HARTA,6.03,6.32,5.93,6.15,140854
HBGLOB,0.25,0.25,0.245,0.245,14305
HCK,1.96,2,1.96,2,1247
HCK-WA,-,-,-,-,0
HEIM,23.3,23.3,23.04,23.1,392
HEKTAR,0.565,0.57,0.565,0.57,323
HENGYUAN,4.32,4.35,4.26,4.34,5671
HEVEA,0.465,0.47,0.455,0.46,10682
HEXTAR,1.3,1.3,1.28,1.28,16640
HEXZA,1.07,1.07,1.06,1.07,1655
HIAPTEK,0.585,0.595,0.56,0.57,434689
HIBISCS,0.685,0.705,0.685,0.7,153552
HIBISCS-PA,-,-,-,-,0
HIGHTEC,2.07,2.12,2.02,2.05,28138
HIL,0.93,0.98,0.93,0.98,1039
HIL-WB,0.32,0.32,0.32,0.32,23
HLBANK,18.7,19.08,18.6,18.9,16090
HLCAP,6.65,6.66,6.52,6.66,14118
HLFG,18.22,18.48,18.2,18.3,2937
HLIND,8.9,8.9,8.86,8.86,257
HOHUP,0.375,0.385,0.375,0.385,1342
HOMERIZ,0.58,0.585,0.575,0.58,1445
HOMERIZ-WB,0.14,0.14,0.135,0.14,4030
HOMERIZ-WC,0.125,0.125,0.125,0.125,511
HONGSENG,2.2,2.43,2.18,2.42,56764
HONGSENG-PA,2.05,2.13,2.05,2.13,480
HONGSENG-WA,1.93,2.2,1.9,2.19,1329
HOOVER,0.76,0.775,0.755,0.76,838
HPMT,0.565,0.59,0.56,0.58,4880
HSL,0.97,0.975,0.97,0.97,450
HSPLANT,2.02,2.03,2.02,2.03,179
HSSEB,0.555,0.56,0.55,0.56,600
HSSEB-WA,-,-,-,-,0
HTPADU,1.27,1.31,1.26,1.28,8512
HUAYANG,0.275,0.275,0.275,0.275,40
HUBLINE,0.04,0.04,0.035,0.04,10350
HUBLINE-WC,-,-,-,-,0
HUMEIND,1.05,1.06,1.05,1.06,775
HUPSENG,0.935,0.94,0.935,0.935,848
HWATAI,0.67,0.69,0.655,0.67,6764
HWGB,0.26,0.265,0.255,0.255,19275
IBHD,0.265,0.265,0.265,0.265,1820
IBHD-PA,-,-,-,-,0
IBRACO,0.515,0.515,0.515,0.515,3
ICAP,2.21,2.25,2.21,2.25,55
ICON,0.1,0.105,0.095,0.1,21805
ICON-WA,0.055,0.06,0.055,0.055,2503
ICONIC,0.44,0.445,0.435,0.44,20049
IDEAL,-,-,-,-,0
IGBB,1.91,1.91,1.9,1.9,262
IGBB-PB,-,-,-,-,0
IGBCR,0.625,0.625,0.62,0.62,17866
IGBREIT,1.68,1.69,1.68,1.69,5377
IHH,6.72,6.72,6.65,6.7,49072
IJM,1.81,1.83,1.8,1.81,30629
IJMPLNT,3.1,3.11,3.1,3.1,3760
ILB,0.435,0.44,0.435,0.435,68
IMASPRO,2.17,2.19,2.15,2.19,482
IMPIANA,0.09,0.095,0.085,0.09,385497
INARI,3.7,3.75,3.64,3.69,194235
INCKEN,0.465,0.465,0.45,0.45,720
INNATURE,0.72,0.725,0.7,0.7,5022
INNO,1.19,1.19,1.18,1.19,2004
INSAS,1,1.02,0.985,1,12879
INSAS-PB,0.93,0.93,0.925,0.93,524
INSAS-WC,0.415,0.42,0.41,0.42,2108
INTA,0.27,0.27,0.265,0.265,2455
INTA-WA,0.075,0.075,0.075,0.075,531
IOICORP,3.83,3.84,3.75,3.77,25153
IOIPG,1.22,1.22,1.19,1.2,11467
IPMUDA,1.33,1.36,1.33,1.35,3322
IQGROUP,1.73,1.73,1.6,1.61,11593
IQZAN,0.065,0.075,0.065,0.075,31455
IREKA,0.68,0.7,0.675,0.69,128635
ITRONIC,0.2,0.215,0.195,0.205,237042
IVORY,0.125,0.135,0.125,0.135,5568
IWCITY,0.365,0.385,0.36,0.375,15778
JADEM,0.61,0.61,0.59,0.605,14874
JADI,0.13,0.135,0.12,0.13,401900
JAKS,0.47,0.475,0.46,0.47,133182
JAKS-WB,0.25,0.25,0.24,0.25,2260
JAKS-WC,0.24,0.24,0.23,0.235,10242
JASKITA,0.11,0.11,0.11,0.11,525
JAYCORP,1.63,1.64,1.59,1.64,6618
JCBNEXT,1.45,1.45,1.45,1.45,20
JCY,0.305,0.31,0.305,0.305,10555
JERASIA,0.195,0.205,0.195,0.2,605
JETSON,0.38,0.38,0.37,0.37,66161
JHM,1.84,1.85,1.82,1.84,25767
JIANKUN,0.3,0.31,0.3,0.3,22322
JIANKUN-WA,0.045,0.05,0.045,0.05,19692
JKGLAND,0.11,0.11,0.105,0.105,7387
JOE,0.045,0.045,0.045,0.045,31067
JOE-WA,-,-,-,-,0
JOE-WB,0.01,0.015,0.01,0.015,8818
